NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,
2 SCRAMBLED EGGS,CAFE DE GRASTA,,MEAL, , , , , , , , , , , ,EGGS, , ,
20 OZ BOTTLED SODA,CAFE DE GRASTA,,BEVERAGE, , , , , , , , , , , ,SODA, , ,
24 OZ FOUNTAIN SODA,CAFE DE GRASTA,,BEVERAGE, , , , , , , , , , , ,SODA, , ,
7 LAYER BURRITO,TACO BELL PIZZA HUT,420,MEAL, , , , , , , , , , , ,BURRITO,BEAN,RICE,
ACAI ENERGY,HAGERTY FAMILY CAFE,,BEVERAGE, , , , , , , , , , , ,SMOOTHIES,BANANAS,BLUEBERRY,
ALLEGRINI PALAZZO DELLA TORRE,LEGENDS,,MEAL, , , , , , , , , , , ,ALCOHOL, , ,
ALMOND CROISSANT,AU BON PAIN,500,SNACK,, EGGS, MILK, SOY, ALMONDS, , , , , , ,PASTRY, , ,
ALMOND CROISSANT,AU BON PAIN CART,500,SNACK, , EGGS, MILK, SOY, ALMONDS, , , , , , ,PASTRY, , ,
ALMOND CROISSANT,HAGERTY FAMILY CAFE, ,SNACK, , , , , , , , , , , ,ALMOND,BREAD,PASTRY,
ALMOND CROISSANT,STARBUCKS,420,MEAL, , , , , , , , , , , ,PASTRY, , ,
AMERICAN CHICKEN SALAD SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,CHICKEN,SANDWICH,CHEESE,
AMERICAN CHICKEN SALAD WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,CHICKEN,SANDWICH,CHEESE,
AMERICAN CHICKEN SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,CHICKEN,SANDWICH,CHEESE,
AMERICAN CHICKEN WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,CHICKEN,SANDWICH,CHEESE,
AMERICAN CLUB,SUBWAY,440,MEAL, ,WHEAT,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,BACON,TURKEY,
AMERICAN CLUB (6-INCH),SUBWAY,510,MEAL, ,WHEAT,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,BACON,TURKEY,
AMERICAN CLUB (FOOTLONG),SUBWAY,1020,MEAL, ,WHEAT,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,BACON,TURKEY,
AMERICAN EGG SALAD SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,EGG,SALAD,CHEESE,
AMERICAN EGG SALAD WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,EGG,SALAD,CHEESE,
AMERICAN ROAST BEEF SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,BEEF,SANDWICH,CHEESE,
AMERICAN ROAST BEEF WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,BEEF,SANDWICH,CHEESE,
AMERICAN SALAMI SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,SALAMI,SANDWICH,CHEESE,
AMERICAN SALAMI WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,SALAMI,SANDWICH,CHEESE,
AMERICAN TURKEY SANDWHICH,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,TURKEY,SANDWICH,CHEESE,
AMERICAN TURKEY WRAP,CAFE COMMONS,500,MEAL, , , , , , , , , , , ,TURKEY,SANDWICH,CHEESE,
AMERICANO,CHARRON FAMILY, ,BEVERAGE, , , , , , , , , , , ,COFFEE, , ,
AMF BLUE MOTORCYCLE,LEGENDS, ,BEVERAGE, , , , , , , , , , , ,ALCOHOL, , ,
ANGRY ORCHARD CIDER,LEGENDS, ,BEVERAGE, , , , , , , , , , , ,ALCOHOL, , ,
APPLE,MODERN MARKET, ,SNACK, , , , , , , , , , , ,APPLE, , ,
APPLE & CINNAMON CROISSANT,AU BON PAIN,220,MEAL, , EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH, , ,
ARTICHOKE & GOAT CHEESE FLATBREAD,STARBUCKS,310,MEAL, , , , , , , , , , , ,SANDWICH,CHEESE, ,
ARTICHOKE & PESTO PIZZA - HALF,MODERN MARKET, ,MEAL, , , , , , , , , , , ,PIZZA,CHEESE,VEGETABLES,
ARTICHOKE & PESTO PIZZA - WHOLE,MODERN MARKET, ,MEAL, , , , , , , , , , , ,PIZZA,CHEESE,VEGETABLES,
ARTISANAL PLATE ,ROHRS, ,MEAL, , , , , , , , , , , ,CHEESE,FRUIT, ,
ARUGULA & BLUE CHEESE,MODERN MARKET, ,MEAL, , , , , , , , , , , ,SALAD,CHEESE, ,
ASIAGO BREADSTICK,AU BON PAIN,150,MEAL, , MILK, SOY, WHEAT, , , , , , , ,BREAD, , ,
ASIAGO CHEESE BAGEL,AU BON PAIN,330,MEAL, , MILK, SOY, WHEAT, , , , , , , ,BREAD,CHEESE, ,
ASIAN BOWL,DECIO, ,MEAL, , , , , , , , , , , ,BEEF, , ,
ASPARAGUS & PEA SOUP (LARGE),AU BON PAIN,370,MEAL, , MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
ASPARAGUS & PEA SOUP (MEDIUM),AU BON PAIN,280,MEAL, , MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
ASPARAGUS & PEA SOUP (SMALL),AU BON PAIN,190,MEAL, , MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
AVOCADO BACON CLUB,SMASHBURGER,620,MEAL,,MILK,TREE NUT,WHEAT,SOY,EGG, , , , , ,BURGER,SANDWICH,BACON,
AVOCADO BLT (HALF SANDWICH),AU BON PAIN,260,MEAL,, EGGS, SOY, WHEAT, , , , , , , ,SANDWICH, , ,
AVOCADO BLT (WHOLE SANDWICH),AU BON PAIN,520,MEAL,, EGGS, SOY, WHEAT, , , , , , , ,SANDWICH, , ,
AVOCADO SMOOTHIE BOWL ,ROHRS, ,MEAL,, , , , , , , , , , ,SMOOTHIE,BERRY,AVOCADO,
AVOCADO SPREAD,STARBUCKS,90,MEAL,, , , , , , , , , , ,SANDWICH,AVOCADO, ,
AVOCADO SPREAD,STARBUCKS,90,MEAL,, , , , , , , , , , ,SANDWICH, , ,
AVOCADO TOAST ,ROHRS, ,MEAL,, , , , , , , , , , ,AVOCADO,SANDWICH,TOMATO,
BACON & CHEDDAR KOLACHE,AU BON PAIN,350,MEAL,, EGGS, MILK, SOY, WHEAT, , , , , , ,SANDWICH, ,BACON,
BACON CORN PIZZA - HALF,MODERN MARKET,575,MEAL,, , , , , , , , , , ,PIZZA,BACON,CORN,
BACON CORN PIZZA - WHOLE,MODERN MARKET,1150,MEAL,, , , , , , , , , , ,PIZZA,BACON,CORN,
BACON SMASH,SMASHBURGER,620,MEAL,,MILK,TREE NUT,WHEAT,SOY,EGG, , , , , ,BURGER,SANDWICH,BACON,
BACON WRAPPED DATES,STARBUCKS,270,MEAL,, , , , , , , , , , ,BACON,BACON,BACON,
BACON  EGG & CHEESE FLATBREAD (6-INCH),SUBWAY,450,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK, ,EGG,MILK, , , ,SANDWICH,BACON,EGGS,
BACON  EGG & CHEESE FLATBREAD (FOOTLONG),SUBWAY,900,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK, ,EGG,MILK, , , ,SANDWICH,BACON,EGGS,
BACON  GOUDA & EGG BREAKFAST SANDWICH,STARBUCKS,370,MEAL,, , , , , , , , , , ,SANDWICH,EGG,BACON,
BACON  LETTUCE  TOMATOES (6-INCH),SUBWAY,340,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES, , , , , , ,SANDWICH,BACON, ,
BACON  LETTUCE  TOMATOES (FOOTLONG),SUBWAY,680,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES, , , , , , ,SANDWICH,BACON, ,
BAGEL SANDWHICH,CHARRON FAMILY, ,MEAL,, , , , , , , , , , ,SANDWICH,PASTRY, ,
BAJA SHRIMP TACOS,LEGENDS, ,MEAL,, , , , , , , , , , ,TACOS,SHRIMP, ,
BAKED GOODS,MCCOURTNEY EXPRESSO CART, ,SNACK,, , , , , , , , , , , ,PASTRY, ,
BAKED STUFFED POTATO SOUP (LARGE),AU BON PAIN,510,MEAL,, MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
BAKED STUFFED POTATO SOUP (MEDIUM),AU BON PAIN,390,MEAL,, MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
BAKED STUFFED POTATO SOUP (SMALL),AU BON PAIN,260,MEAL,, MILK, SOY, WHEAT, , , , , , , ,SOUP, , ,
BAKED WINGS,TACO BELL PIZZA HUT, ,MEAL,, , , , , , , , , , ,CHICKEN, , ,
BAKED! LAY S  O ORIGINAL POTATO CRISPS,AU BON PAIN,130,SNACK,, SOY, , , , , , , , , ,CHIPS, , ,
Baklava,GARBANZO , ,MEAL,, , , , , , , , , , ,PASTRY, , ,
BANANA,MODERN MARKET, ,SNACK,, , , , , , , , , , ,BANANA, , ,
BANANA NUT BREAD,STARBUCKS,420,SNACK,, , , , , , , , , , ,SNACK,BANANA, ,
BANANA NUT BREAD LOAF,STARBUCKS,420,SNACK,, , , , , , , , , , ,PASTRY,BANANA, ,
BANANAS FOSTER CHEESECAKE,LEGENDS, ,MEAL,, , , , , , , , , , ,CAKE,BANANAS, ,
BANGIN BERRY,HAGERTY FAMILY CAFE, ,BEVERAGE,, , , , , , , , , , ,SMOOTHIES,BANANAS,BLUEBERRY,
BARGETTO WINERY,LEGENDS, ,BEVERAGE,, , , , , , , , , , ,ALCOHOL, , ,
BASIL CHICKEN SANDWHICH,MODERN MARKET,543,MEAL,, , , , , , , , , , ,SANDWICH,CHICKEN, ,
BAVARIAN PRETZEL,PIZZA PI, ,MEAL,, , , , , , , , , , ,BREAD, , ,
BBQ BACON CHEDDAR MAC & CHEESE,PIZZA PI, ,MEAL,, , , , , , , , , , ,PIZZA,BACON,PASTA,
BBQ BACON MAC & CHEESE,PIZZA PI, ,MEAL,, , , , , , , , , , ,PIZZA,BACON,PASTA,
BBQ BACON SMASH,SMASHBURGER,750,MEAL,,MILK,TREE NUT,WHEAT,SOY,EGG, , , , , ,BURGER,SANDWICH,BACON,
BBQ PIZZA - HALF,MODERN MARKET,475,MEAL,, , , , , , , , , , ,PIZZA,CHICKEN,CHEESE,
BBQ PIZZA - WHOLE,MODERN MARKET,950,MEAL,, , , , , , , , , , ,PIZZA,CHICKEN,CHEESE,
BBQ PORK,AU BON PAIN,45,MEAL,, SOY, , , , , , , , , ,PORK, , ,
BBQ RANCH SALAD (NO DRESSING  NO PROTEIN OPTION),SMASHBURGER,510,MEAL,,MILK,WHEAT,SOY,EGG,, , , , , ,SALAD, , ,
BEAN BURRITO,TACO BELL PIZZA HUT,350,MEAL, , , , , , , , , , , ,BURRITO,BEAN,CHEESE,
BEEF & VEGETABLE STEW (LARGE),AU BON PAIN,450,MEAL, , MILK, SOY, WHEAT, SULFITES, , , , , , ,SOUP,BEEF, ,
BEEF & VEGETABLE STEW (MEDIUM),AU BON PAIN,340,MEAL, , MILK, SOY, WHEAT, SULFITES, , , , , , ,SOUP,BEEF, ,
BEEF & VEGETABLE STEW (SMALL),AU BON PAIN,230,MEAL, , MILK, SOY, WHEAT, SULFITES, , , , , , ,SOUP,BEEF, ,
BEEF BARLEY SOUP,CROSSINGS, ,MEAL, , , , , , , , , , , ,SOUP,BEEF, ,
BEEF FLATBREAD ,ROHRS, ,MEAL, , , , , , , , , , , ,SANDWICH,BEEF,CHEESE,
BEEFY 5 LAYER BURRITO,TACO BELL PIZZA HUT,500,MEAL, , , , , , , , , , , ,BURRITO,BEAN,RICE,
BEEFY FRITOS BURITO,TACO BELL PIZZA HUT,440,MEAL, , , , , , , , , , , ,BURRITO,BEEF,CHIPS,
BEEFY NACHO GRILLER,TACO BELL PIZZA HUT,370,MEAL, , , , , , , , , , , ,NACHO,BEEF,CHEESE,
BEEFY NACHO GRILLER,TACO BELL PIZZA HUT, ,MEAL, , , , , , , , , , , ,NACHO,BEEF,CHEESE,
BELGIUM WAFFLE ,ROHRS, ,MEAL, , , , , , , , , , , ,PANCAKE,STRAWBERRY, ,
BELL S AMBER ALE,LEGENDS, ,BEVERAGE, , , , , , , , , , , ,ALCOHOL, , ,
BELL S TWO HEARTED IPA,LEGENDS, ,BEVERAGE, , , , , , , , , , , ,ALCOHOL, , ,
BERRY POMEGRANATE SMOOTHIE,AU BON PAIN,270,BEVERAGE, , MILK, , , , , , , , , ,SMOOTHIE,BERRY, ,
BERRY SANGRIA HERBAL TEA - GRANDE,STARBUCKS,190,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BERRY SANGRIA HERBAL TEA - TALL,STARBUCKS,120,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BERRY SANGRIA HERBAL TEA - VENTI,STARBUCKS,120,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BERRY SENSATION YOGURT SMOOTHIE,AU BON PAIN,280,BEVERAGE,, , , , , , , , , , ,SMOOTHIE,BERRY, ,
BERRY TRIO PARFAIT,STARBUCKS,240,SNACK,, , , , , , , , , , ,YOGURT,BERRY, ,
BEWED COFFEE,CHARRON FAMILY, ,BEVERAGE,, , , , , , , , , , ,COFFEE, , ,
BIG BREAKFAST SANDWICH,CAFE DE GRASTA, ,MEAL,, , , , , , , , , , ,SANDWICH,EGGS, ,
BIG BREAKFAST WRAP,CAFE DE GRASTA, ,MEAL,, , , , , , , , , , ,SANDWICH,EGGS, ,
BIRTHDAY CAKE POP,STARBUCKS,170,SNACK,, , , , , , , , , , ,PASTRY,CAKE, ,
BISCUITS & GRAVY,CAFE DE GRASTA, ,MEAL,, , , , , , , , , , ,BREAD,GRAVY, ,
BISTRO STEAK ,ROHRS, ,MEAL,, , , , , , , , , , ,STEAK, , ,
BLAC BEAN QUESARITO,TACO BELL PIZZA HUT,630,MEAL,, , , , , , , , , , ,BURRITO,BEEF,CHEESE,
BLACK ANGUS ROAST BEEF & CHEDDAR (HALF SANDWICH),AU BON PAIN,290,MEAL,, , MILK, SOY, WHEAT, , , , , , ,SANDWICH,BEEF, ,
BLACK ANGUS ROAST BEEF & CHEDDAR (WHOLE SANDWICH),AU BON PAIN,570,MEAL,, , MILK, SOY, WHEAT, , , , , , ,SANDWICH,BEEF, ,
BLACK ANGUS STEAK & CHEESE,AU BON PAIN,690,MEAL,, , MILK, SOY, WHEAT, , , , , , ,SANDWICH,CHEESE, ,
BLACK BEAN CRUNCHWRAP SUPREME,TACO BELL PIZZA HUT,510,MEAL,, , , , , , , , , , ,BURRITO,TACO,BEANS,
BLACK BEAN SOUP (LARGE),AU BON PAIN,360,MEAL,, , , , , , , , , , ,SOUP, , ,
BLACK BEAN SOUP (MEDIUM),AU BON PAIN,270,MEAL,, , , , , , , , , , ,SOUP, , ,
BLACK BEAN SOUP (SMALL),AU BON PAIN,180,MEAL,, , , , , , , , , , ,SOUP, , ,
BLACK FOREST HAM,SUBWAY,120,MEAL,, ,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,HAM, ,
BLACK FOREST HAM (6-INCH),SUBWAY,260,MEAL,, ,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,HAM, ,
BLACK FOREST HAM (FOOTLONG),SUBWAY,520,MEAL,, ,GLUTEN,SOYBEANS, , , , , , , ,SANDWICH,HAM, ,
BLACK FOREST HAM ON TOMATO BASIL WRAP,SUBWAY,440,MEAL,, ,GLUTEN, , , , , , , , ,SANDWICH,HAM, ,
BLACK FOREST HAM  EGG & CHEESE FLATBREAD (6-INCH),SUBWAY,410,MEAL,, ,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK, , , ,SANDWICH,CHEESE,EGGS,
BLACK FOREST HAM  EGG & CHEESE FLATBREAD (FOOTLONG),SUBWAY,820,MEAL,, ,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK, , , ,SANDWICH,CHEESE,EGGS,
BLONDE CAFFE AMERICANO - GRANDE,STARBUCKS,15,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE CAFFE AMERICANO - SHORT,STARBUCKS,5,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE CAFFE AMERICANO - TALL,STARBUCKS,10,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE CAFFE AMERICANO - VENTI,STARBUCKS,15,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE FLAT WHITE - GRANDE,STARBUCKS,220,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE FLAT WHITE - SHORT,STARBUCKS,110,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE FLAT WHITE - TALL,STARBUCKS,170,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLONDE FLAT WHITE - VENTI,STARBUCKS,290,BEVERAGE,,MILK, , , , , , , , , ,COFFEE, , ,
BLT (HALF SANDWICH),AU BON PAIN,240,MEAL,, , SOY, WHEAT, , , , , , , ,SANDWICH, , ,
BLT (WHOLE SANDWICH),AU BON PAIN,470,MEAL,, , SOY, WHEAT, , , , , , , ,SANDWICH, , ,
BLT PIADINAS,PIZZA PI, ,MEAL,, , , , , , , , , , ,SANDWICH,BACON,TOMATO,
BLUE CHEESE & BACON DIP,LEGENDS, ,MEAL,, , , , , , , , , , ,BACON,CHEESE ,CHIPS,
BLUEBERRY GINGER LEMONADE,STAR GINGER, ,BEVERAGE,, , , , , , , , , , ,JUICE, , ,
BLUEBERRY MUFFIN,AU BON PAIN,480,SNACK,, , MILK, SOY, WHEAT, PECAN, WALNUT, , , , ,PASTRY,BERRY, ,
BLUEBERRY MUFFIN,AU BON PAIN CART,480,SNACK,, , MILK, SOY, WHEAT, PECAN, WALNUT, , , , ,PASTRY,BERRY, ,
BLUEBERRY MUFFIN,STARBUCKS,360,SNACK,, , , , , , , , , , ,SNACK,BERRY, ,
BLUEBERRY PESTO SANDWHICH,MODERN MARKET,460,MEAL,, , , , , , , , , , ,SANDWICH,BLUEBERRY, ,
BLUEBERRY SCONE,STARBUCKS,380,SNACK,, , , , , , , , , , ,PASTRY,BERRY, ,
BLUEBERRY YOGURT & WILD BLUEBERRY PARFAIT,AU BON PAIN,380,SNACK,, , COCONUT, PECAN, , , , , , , ,YOGURT,BERRY, ,
BON TO GO - CAPRESE CHICKEN,AU BON PAIN,310,MEAL,, , SOY, , , , , , , , ,CHICKEN, , ,
BON TO GO - CAPRESE CHICKEN,AU BON PAIN,310,MEAL,, , SOY, , , , , , , , ,CHICKEN, , ,
BON TO GO - CHEESE & FRUIT,AU BON PAIN,390,MEAL,, , SOY, WHEAT, SESAME, , , , , , ,FRUIT,CHEESE, ,
BON TO GO - CHEESE & FRUIT,AU BON PAIN,390,MEAL,, , SOY, WHEAT, SESAME, , , , , , ,FRUIT,CHEESE, ,
BON TO GO - EGG  VEGGIE & CHEESE,AU BON PAIN,380,MEAL,, , MILK, SOY, WHEAT, , , , , , ,EGGS,VEGETABLES, ,
BON TO GO - EGG  VEGGIE & CHEESE,AU BON PAIN,380,MEAL,, , MILK, SOY, WHEAT, , , , , , ,EGGS,CHEESE, ,
BON TO GO - FRUIT  EGGS & NUTS,AU BON PAIN,500,MEAL,, , MILK, ALMOND, CASHEW, , , , , , ,FRUIT,CHEESE, ,
BON TO GO - FRUIT  EGGS & NUTS,AU BON PAIN,500,MEAL,, , MILK, ALMOND, CASHEW, , , , , , ,FRUIT,CHEESE, ,
BON TO GO - HARD BOILED EGGS,AU BON PAIN,140,MEAL,, , , , , , , , , , ,EGGS,CHEESE, ,
BON TO GO - HARD BOILED EGGS,AU BON PAIN,140,MEAL,, , , , , , , , , , ,EGGS, , ,
BON TO GO - HERB CHICKEN SALAD,AU BON PAIN,270,MEAL,, , MILK, SOY, WHEAT, , , , , , ,CHICKEN,SALAD, ,
BON TO GO - HERB CHICKEN SALAD,AU BON PAIN,270,MEAL,, , MILK, SOY, WHEAT, , , , , , ,SALAD,CHICKEN, ,
BON TO GO - HUMMUS,AU BON PAIN,300,MEAL,, , SESAME, , , , , , , , ,VEGETABLES, , ,
BON TO GO - HUMMUS,AU BON PAIN,300,MEAL,, , SESAME, , , , , , , , ,VEGETABLES, , ,
BON TO GO - HUMMUS  VEGGIE & TABOULE,AU BON PAIN,350,MEAL,, , SESAME, , , , , , , , ,VEGETABLES,EGGS, ,
BON TO GO - HUMMUS  VEGGIE & TABOULE,AU BON PAIN,350,MEAL,, , SESAME, , , , , , , , ,VEGETABLES,EGGS, ,
BON TO GO - SMOKED SALMON,AU BON PAIN,210,MEAL,, , MILK, SOY, WHEAT, , , , , , ,CHICKEN, , ,
BON TO GO - SMOKED SALMON,AU BON PAIN,210,MEAL,, , MILK, SOY, WHEAT, , , , , , ,FISH, , ,
BON TO GO - SOUTHWEST CHICKEN,AU BON PAIN,350,MEAL,, , SOY, WHEAT, , , , , , , ,CHICKEN, , ,
BON TO GO - SOUTHWEST CHICKEN,AU BON PAIN,350,MEAL,, , SOY, WHEAT, , , , , , , ,CHICKEN, , ,
BON TO GO - TURKEY & SWISS,AU BON PAIN,280,MEAL,, , MILK, SOY, WHEAT, , , , , , ,TURKEY,CHEESE, ,
BON TO GO - TURKEY & SWISS,AU BON PAIN,280,MEAL,, , MILK, SOY, WHEAT, , , , , , ,TURKEY,CHEESE, ,
BONELESS��WINGS 12,LEGENDS, ,MEAL,, , , , , , , , , , ,CHICKEN, , ,
BONELESS��WINGS 6,LEGENDS, ,MEAL,, , , , , , , , , , ,CHICKEN, , ,
BOTTLE SODA,DECIO, ,BEVERAGE,, , , , , , , , , , ,SODA, , ,
BOTTLED BEVERAGES,CHARRON FAMILY, ,BEVERAGE,, , , , , , , , , , ,SODA, , ,
BOTTLED BEVERAGES,CROSSINGS, ,BEVERAGE,, , , , , , , , , , ,JUICE, , ,
BOTTLED DRINKS,CAFE COMMONS, ,BEVERAGE,, , , , , , , , , , ,JUICE, , ,
Bottled Soda,GARBANZO , ,BEVERAGE,, , , , , , , , , , ,WATER, , ,
BOURBON GLAZED SALMON,LEGENDS, ,MEAL,, , , , , , , , , , ,FISH,POTATO,VEGETABLES,
Bowl Chicken,GARBANZO , ,MEAL,, , , , , , , , , , ,CHICKEN,RICE, ,
Bowl Chicken Kabob,GARBANZO , ,MEAL,, , , , , , , , , , ,CHICKEN,RICE, ,
Bowl Falafel,GARBANZO , ,MEAL,, , , , , , , , , , ,FALAFEL,RICE, ,
Bowl Gyro,GARBANZO , ,MEAL,, , , , , , , , , , ,BEEF,RICE, ,
Bowl Portobello,GARBANZO , ,MEAL,, , , , , , , , , , ,STEAK,RICE, ,
Bowl Steak,GARBANZO , ,MEAL,, , , , , , , , , , ,STEAK,RICE, ,
Bowl Steak Kabob,GARBANZO , ,MEAL,, , , , , , , , , , ,STEAK,RICE, ,
BRAISED BEEF & VEG SOUP,CROSSINGS, ,MEAL,, , , , , , , , , , ,SOUP,BEEF,VEGETABLES,
BRAISED BEEF SHORT RIB,LEGENDS, ,MEAL,, , , , , , , , , , ,BEEF, , ,
BRANCAIA ILATRAIA,LEGENDS, ,BEVERAGE,, , , , , , , , , , ,ALCOHOL, , ,
BREADSTICKS WITH MARINARA,TACO BELL PIZZA HUT, ,MEAL,, , , , , , , , , , ,BREAD, , ,
BREADSTICKS WITH MARINARA,TACO BELL PIZZA HUT, ,MEAL,, , , , , , , , , , ,BREAD, , ,
BREAKFAST B.M.T FLATBREAD (6-INCH),SUBWAY,520,MEAL,, ,GLUTEN,SOYBEANS,MILK, , , , , , ,SANDWICH,HAM, ,
BREAKFAST B.M.T FLATBREAD (FOOTLONG),SUBWAY,1040,MEAL,, ,GLUTEN,SOYBEANS,MILK, , , , , , ,SANDWICH,HAM, ,
BREAKFAST PANINI ,ROHRS, ,MEAL,, , , , , , , , , , ,EGG,BACON,CHEESE,
BRIDLEWOOD,LEGENDS, ,BEVERAGE,, , , , , , , , , , ,ALCOHOL, , ,
BROCCOLI CHEDDAR SOUP (LARGE),AU BON PAIN,450,MEAL,, , WHEAT, SULFITES, , , , , , , ,SOUP, , ,
