NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,,
BONELESS�WINGS 12,LEGENDS,,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BONELESS�WINGS 6,LEGENDS,,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BOTTLE SODA,DECIO,,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
BOTTLED BEVERAGES,CHARRON FAMILY,,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
BOTTLED BEVERAGES,CROSSINGS,,BEVERAGE,,,,,,,,,,,,JUICE,JUICE,JUICE,,
BOTTLED DRINKS,CAFE COMMONS,,BEVERAGE,,,,,,,,,,,,JUICE,JUICE,JUICE,,
Bottled Soda,GARBANZO ,,BEVERAGE,,,,,,,,,,,,WATER,WATER,WATER,,
BOURBON GLAZED SALMON,LEGENDS,,MEAL,,,,,,,,,,,,FISH,POTATO,VEGETABLES,,
Bowl Chicken,GARBANZO ,,MEAL,,,,,,,,,,,,CHICKEN,RICE,RICE,,
Bowl Chicken Kabob,GARBANZO ,,MEAL,,,,,,,,,,,,CHICKEN,RICE,RICE,,
Bowl Falafel,GARBANZO ,,MEAL,,,,,,,,,,,,FALAFEL,RICE,RICE,,
Bowl Gyro,GARBANZO ,,MEAL,,,,,,,,,,,,BEEF,RICE,RICE,,
Bowl Portobello,GARBANZO ,,MEAL,,,,,,,,,,,,STEAK,RICE,RICE,,
Bowl Steak,GARBANZO ,,MEAL,,,,,,,,,,,,STEAK,RICE,RICE,,
Bowl Steak Kabob,GARBANZO ,,MEAL,,,,,,,,,,,,STEAK,RICE,RICE,,
BRAISED BEEF & VEG SOUP,CROSSINGS,,MEAL,,,,,,,,,,,,SOUP,BEEF,VEGETABLES,,
BRAISED BEEF SHORT RIB,LEGENDS,,MEAL,,,,,,,,,,,,BEEF,BEEF,BEEF,,
BRANCAIA ILATRAIA,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BREADSTICKS WITH MARINARA,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,BREAD,BREAD,BREAD,,
BREADSTICKS WITH MARINARA,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,BREAD,BREAD,BREAD,,
BREAKFAST B.M.T FLATBREAD (6-INCH),SUBWAY,520,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,,,,,,,SANDWICH,HAM,HAM,,
BREAKFAST B.M.T FLATBREAD (FOOTLONG),SUBWAY,1040,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,,,,,,,SANDWICH,HAM,HAM,,
BREAKFAST PANINI ,ROHRS,,MEAL,,,,,,,,,,,,EGG,BACON,CHEESE,,
BRIDLEWOOD,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BROCCOLI CHEDDAR SOUP (LARGE),AU BON PAIN,450,MEAL,, MILK, WHEAT, SULFITES,,,,,,,,SOUP,SOUP,SOUP,,
BROCCOLI CHEDDAR SOUP (MEDIUM),AU BON PAIN,340,MEAL,, MILK, WHEAT, SULFITES,,,,,,,,SOUP,SOUP,SOUP,,
BROCCOLI CHEDDAR SOUP (SMALL),AU BON PAIN,220,MEAL,, MILK, WHEAT, SULFITES,,,,,,,,SOUP,SOUP,SOUP,,
BROCCOLI CHICKEN PASTA ALFREDO,AU BON PAIN,45,MEAL,, MILK, SOY, WHEAT,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BROWNIE BITES,AU BON PAIN,600,SNACK,, EGGS, MILK, SOY, WHEAT,,,,,,,PASTRY,PASTRY,PASTRY,,
BROWNIE COOKIE,MODERN MARKET,,MEAL,,,,,,,,,,,,COOKIE,COOKIE,COOKIE,,
BUD LIGHT,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BUDDHA BOWL,MODERN MARKET,,MEAL,,,,,,,,,,,,RICE,TOFU,VEGETABLES,,
BUFFALO CHICKEN,HAGERTY FAMILY CAFE,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,BACON,,
BUFFALO CHICKEN  ROTISSERIE-STYLE (6-INCH),SUBWAY,390,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
BUFFALO CHICKEN  ROTISSERIE-STYLE (FOOTLONG),SUBWAY,780,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
BURRITO SUPREME,TACO BELL PIZZA HUT,390,MEAL,,,,,,,,,,,,BURRITO,BEEF,BEANS,,
BUTCHER S FAVORITE,PIZZA PI,,MEAL,,,,,,,,,,,,PIZZA,PORK,BACON,,
BUTTER CROISSANT,HAGERTY FAMILY CAFE,,MEAL,,,,,,,,,,,,PASTRY,BREAD,BREAD,,
BUTTER CROISSANT,STARBUCKS,310,MEAL,,,,,,,,,,,,PASTRY,PASTRY,PASTRY,,
BUTTER CROISSANT,STARBUCKS,260,MEAL,,,,,,,,,,,,PASTRY,PASTRY,PASTRY,,
BUTTERNUT SQUAS BISQUE,CROSSINGS,,MEAL,,,,,,,,,,,,VEGETABLES,SOUP,SOUP,,
BUTTERNUT SQUASH & APPLE (LARGE),AU BON PAIN,270,MEAL,, MILK, SOY,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
BUTTERNUT SQUASH & APPLE (MEDIUM),AU BON PAIN,200,MEAL,, MILK, SOY,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
BUTTERNUT SQUASH & APPLE (SMALL),AU BON PAIN,130,MEAL,, MILK, SOY,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
CA  MOMI,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
CAESAR ASIAGO,AU BON PAIN,180,MEAL,, MILK, SOY, WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES,,
CAF E LATTE,CHARRON FAMILY,,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO - GRANDE,STARBUCKS,15,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO - SHORT,STARBUCKS,5,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO - TALL,STARBUCKS,10,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO - VENTI,STARBUCKS,25,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO (LARGE),AU BON PAIN,15,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE AMERICANO (MEDIUM),AU BON PAIN,10,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE LATTE - GRANDE,STARBUCKS,190,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE LATTE - TALL,STARBUCKS,150,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE LATTE - VENTI,STARBUCKS,240,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE LATTE (LARGE),AU BON PAIN,180,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE LATTE (MEDIUM),AU BON PAIN,140,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MILANO (LARGE),AU BON PAIN,350,BEVERAGE,, MILK, HAZELNUT,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MILANO (MEDIUM),AU BON PAIN,280,BEVERAGE,, MILK, HAZELNUT,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MISTO - GRANDE,STARBUCKS,110,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MISTO - SHORT,STARBUCKS,50,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MISTO - TALL,STARBUCKS,80,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MISTO - VENTI,STARBUCKS,130,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MOCHA - GRANDE,STARBUCKS,360,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MOCHA - TALL,STARBUCKS,290,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE MOCHA - VENTI,STARBUCKS,450,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE VANILLA - GRANDE,STARBUCKS,300,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE VANILLA - TALL,STARBUCKS,600,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFE VANILLA - VENTI,STARBUCKS,430,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAFFEINE FREE DIET COKE (LARGE),AU BON PAIN,5,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
CAFFEINE FREE DIET COKE (MEDIUM),AU BON PAIN,5,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
CAJUN CHICKEN PENNE PASTA,LEGENDS,,MEAL,,,,,,,,,,,,CHICKEN,PASTA,PASTA,,
CALIFORNIA ROLL,STAR GINGER,261,MEAL,,,,,,,,,,,,SUSHI,FISH,FISH,,
CAPPUCCINO,CHARRON FAMILY,,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO - GRANDE,STARBUCKS,120,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO - SHORT,STARBUCKS,80,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO - TALL,STARBUCKS,90,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO - VENTI,STARBUCKS,150,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO (LARGE),AU BON PAIN,160,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPPUCCINO (MEDIUM),AU BON PAIN,120,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CAPRESE (6-INCH),SUBWAY,600,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
CAPRESE (FOOTLONG),SUBWAY,1200,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
CARAMEL - GRANDE,STARBUCKS,420,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL - MINI,STARBUCKS,190,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL - TALL,STARBUCKS,300,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL - VENTI,STARBUCKS,510,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL APPLE SPICE - GRANDE,STARBUCKS,220,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL APPLE SPICE - SHORT,STARBUCKS,440,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL APPLE SPICE - TALL,STARBUCKS,540,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL APPLE SPICE - VENTI,STARBUCKS,300,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL MACCHIATO (LARGE),AU BON PAIN,340,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL MACCHIATO (MEDIUM),AU BON PAIN,270,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL RIBBON CRUNCH - GRANDE,STARBUCKS,340,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL RIBBON CRUNCH - TALL,STARBUCKS,530,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL RIBBON CRUNCH - VENTI,STARBUCKS,490,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL WAFFLE CONE - GRANDE,STARBUCKS,300,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL WAFFLE CONE - MINI,STARBUCKS,310,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL WAFFLE CONE - TALL,STARBUCKS,220,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARAMEL WAFFLE CONE - VENTI,STARBUCKS,400,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CARIBBEAN CRAZE,HAGERTY FAMILY CAFE,,BEVERAGE,,,,,,,,,,,,SMOOTHIES,BANANAS,STRAWBERRY,,
CARNITAS SALAD,CROSSINGS,,MEAL,,,,,,,,,,,,SALAD,PORK,PORK,,
CARNITAS WRAP,CROSSINGS,,MEAL,,,,,,,,,,,,SANDWICH,PORK,PORK,,
CAT CAKE POP,STARBUCKS,150,SNACK,,,,,,,,,,,,PASTRY,CAKE,CAKE,,
CEDAR PLANK SALMON ,ROHRS,,MEAL,,,,,,,,,,,,FISH,ALMONDS,POTATO,,
CHAI CREME - GRANDE,STARBUCKS,480,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI CREME - TALL,STARBUCKS,380,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI CREME - VENTI,STARBUCKS,250,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI LATTE (LARGE),AU BON PAIN,270,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI LATTE (MEDIUM),AU BON PAIN,210,BEVERAGE,, MILK,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI TEA LATTE - GRANDE,STARBUCKS,190,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI TEA LATTE - TALL,STARBUCKS,130,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHAI TEA LATTE - VENTI,STARBUCKS,190,BEVERAGE,MILK,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
CHALUPA SUPREME,TACO BELL PIZZA HUT,340,MEAL,,,,,,,,,,,,TACO,BEEF,CHEESE,,
CHATEAU SOUVERAIN,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
CHEDDAR CHICKEN SALAD SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,CHICKEN,SANDWICH,CHEESE,,
CHEDDAR CHICKEN SALAD WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,CHICKEN,SANDWICH,CHEESE,,
CHEDDAR CHICKEN SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,CHICKEN,SANDWICH,CHEESE,,
CHEDDAR CHICKEN WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,CHICKEN,SANDWICH,CHEESE,,
CHEDDAR EGG SALAD SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,EGG,SALAD,CHEESE,,
CHEDDAR EGG SALAD WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,EGG,SALAD,CHEESE,,
CHEDDAR ROAST BEEF SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,BEEF,SANDWICH,CHEESE,,
CHEDDAR ROAST BEEF WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,BEEF,SANDWICH,CHEESE,,
CHEDDAR SALAMI SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,SALAMI,SANDWICH,CHEESE,,
CHEDDAR SALAMI WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,SALAMI,SANDWICH,CHEESE,,
CHEDDAR TURKEY SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,TURKEY,SANDWHICH,CHEESE,,
CHEDDAR TURKEY WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,TURKEY,SANDWHICH,CHEESE,,
CHEESCAKE SUPREME,HAGERTY FAMILY CAFE,,SNACK,,,,,,,,,,,,PASTRY,CAKE,CAKE,,
CHEESE & FRUIT PROTEIN BOX,STARBUCKS,450,MEAL,,,,,,,,,,,,SANDWICH,CHEESE,CHEESE,,
CHEESE DANISH,STARBUCKS,290,SNACK,,,,,,,,,,,,PASTRY,CHEESE,CHEESE,,
CHEESE PERSONAL PIZZA,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,PIZZA,CHEESE,CHEESE,,
CHEESE QUESADILLA,TACO BELL PIZZA HUT,460,MEAL,,,,,,,,,,,,BURRITO,CHEESE,CHEESE,,
CHEESE STICKS ,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,CHEESE,CHEESE,CHEESE,,
CHEESY BREADSTICK BITES,PIZZA PI,,MEAL,,,,,,,,,,,,BREAD,CHEESE,CHEESE,,
CHEESY GORDITA CRUNCH,TACO BELL PIZZA HUT,500,MEAL,,,,,,,,,,,,BURRITO,CHEESE,BEEF,,
CHEESY PEPPERONI BREADSTICK BITES,PIZZA PI,,MEAL,,,,,,,,,,,,BREAD,CHEESE,PORK,,
CHEESY ROLL UP,TACO BELL PIZZA HUT,180,MEAL,,,,,,,,,,,,BURRITO,CHEESE,CHEESE,,
CHERRY COKE (KIDS),SMASHBURGER,150,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
CHERRY COKE (LARGE),SMASHBURGER,400,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
CHERRY COKE (REGULAR),SMASHBURGER,280,BEVERAGE,,,,,,,,,,,,SODA,SODA,SODA,,
CHEWY MARSHMALLOW BAR,AU BON PAIN,250,SNACK,, MILK,,,,,,,,,,PASTRY,PASTRY,PASTRY,,
CHICKEN & BACON RANCH,SUBWAY,460,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN & BACON RANCH MELT (6-INCH),SUBWAY,540,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN & BACON RANCH MELT (FOOTLONG),SUBWAY,1080,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN & BACON RANCH MELT ON TOMATO BASIL WRAP,SUBWAY,800,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN & DOUBLE-SMOKED BACON,STARBUCKS,620,MEAL,,,,,,,,,,,,SANDWICH,BACON,CHICKEN,,
CHICKEN & QUINOA PROTEIN BOWL WITH BLACK BEANS & GREENS,STARBUCKS,420,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN ALFREDO TUSCAN PASTA,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,PASTA,CHEESE,CHICKEN,,
CHICKEN & DUMPLING SOUP (LARGE),AU BON PAIN,350,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,CHICKEN,SOUP,SOUP,,
CHICKEN & DUMPLING SOUP (MEDIUM),AU BON PAIN,260,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,CHICKEN,SOUP,SOUP,,
CHICKEN & DUMPLING SOUP (SMALL),AU BON PAIN,170,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,CHICKEN,SOUP,SOUP,,
CHICKEN & VEGETABLE STEW (LARGE),AU BON PAIN,450,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN & VEGETABLE STEW (MEDIUM),AU BON PAIN,340,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN & VEGETABLE STEW (SMALL),AU BON PAIN,220,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN ARTICHOKE ON ANCIENT GRAIN FLATBREAD PANINI,STARBUCKS,470,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN ASIAN SALAD,CROSSINGS,,MEAL,,,,,,,,,,,,SALAD,CHICKEN,CHICKEN,,
CHICKEN ASIAN WRAP,CROSSINGS,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN BACON RANCH SALAD,CROSSINGS,,MEAL,,,,,,,,,,,,SALAD,CHICKEN,RANCH,,
CHICKEN BACON RANCH SANDWHICH,CROSSINGS,,MEAL,,,,,,,,,,,,CHICKEN,BACON,SANDWICH,,
CHICKEN BEAN & RICE BURRITO,TACO BELL PIZZA HUT,430,MEAL,,,,,,,,,,,,BURRITO,CHICKEN,RICE,,
CHICKEN BLT SALAD SANDWICH,STARBUCKS,470,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,BACON,,
CHICKEN CAESAR,HAGERTY FAMILY CAFE,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN CAESAR ASIAGO,AU BON PAIN,280,MEAL,,MILK, SOY, WHEAT,,,,,,,,CHICKEN,VEGETABLES,VEGETABLES,,
CHICKEN CAESAR PIADINAS,PIZZA PI,,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN CAESAR WRAP,AU BON PAIN,560,MEAL,, EGGS, ANCHOVY, MILK, SOY,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN CAPRESE,STARBUCKS,500,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN CAPRESE PIADINAS,PIZZA PI,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHEESE,,
CHICKEN CASESAR SALAD,PIZZA PI,,MEAL,,,,,,,,,,,,SALAD,CHICKEN,CHICKEN,,
CHICKEN CLUB SANDWICH,MODERN MARKET,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHEESE,,
CHICKEN COBB SALAD - HALF,MODERN MARKET,,MEAL,,,,,,,,,,,,SALAD,CHICKEN,CHICKEN,,
CHICKEN COBB SALAD - WHOLE,MODERN MARKET,,MEAL,,,,,,,,,,,,STEAK,STEAK,STEAK,,
CHICKEN COBB WITH AVOCADO,AU BON PAIN,440,MEAL,, EGGS, MILK,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN FINGERS,LEGENDS,,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN FLORENTINE SOUP (LARGE),AU BON PAIN,380,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN FLORENTINE SOUP (MEDIUM),AU BON PAIN,280,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN FLORENTINE SOUP (SMALL),AU BON PAIN,190,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN GUMBO SOUP (LARGE),AU BON PAIN,260,MEAL,, SOY, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN GUMBO SOUP (MEDIUM),AU BON PAIN,200,MEAL,, SOY, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN GUMBO SOUP (SMALL),AU BON PAIN,130,MEAL,, SOY, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN MARGHERITA,AU BON PAIN,600,MEAL,, MILK, SOY, WHEAT,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN NOODLE SOUP,CROSSINGS,,MEAL,,,,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN NOODLE SOUP (LARGE),AU BON PAIN,160,MEAL,, EGGS, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN NOODLE SOUP (MEDIUM),AU BON PAIN,120,MEAL,, EGGS, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN NOODLE SOUP (SMALL),AU BON PAIN,80,MEAL,, EGGS, WHEAT,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN PESTO WITH NEW FRESH MOZZARELLA (6-INCH),SUBWAY,580,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN PESTO WITH NEW FRESH MOZZARELLA (FOOTLONG),SUBWAY,1160,MEAL,,WHEAT,GLUTEN,SOYBEANS,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN SANTA FE ON ANCIENT GRAIN FLATBREAD,STARBUCKS,370,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN SAUSAGE & BACON BISCUIT,STARBUCKS,450,MEAL,,,,,,,,,,,,SANDWICH,EGG,BACON,,
CHICKEN SAUSAGE & MUSHROOM FLATBREAD,STARBUCKS,310,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN SKEWERS,STARBUCKS,300,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN STRIPS,SMASHBURGER,,MEAL,EGG,MILK,WHEAT,SOY,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN TORTILLA SOUP,CROSSINGS,,MEAL,,,,,,,,,,,,SOUP,CHICKEN,CHICKEN,,
CHICKEN WINGS IN BBQ SAUCE,AU BON PAIN,70,MEAL,, SOY, WHEAT,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN WINGS IN TERIYAKI SAUCE,AU BON PAIN,70,MEAL,, SOY, SESAME,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
CHICKEN WRAP,CAFE DE GRASTA,,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHICKEN WRAP PROTEIN BOX,STARBUCKS,690,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
CHILLI CHEESE BURRITO,TACO BELL PIZZA HUT,370,MEAL,,,,,,,,,,,,BURRITO,CHEESE,CHEESE,,
CHIPOTLE BLACK BEAN BURGER WITH AVOCADO SANDWICH (HALF SANDWICH),AU BON PAIN,370,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
