NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,,
AMERICAN SALAMI SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,SALAMI,SANDWICH,CHEESE,,
AMERICAN SALAMI WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,SALAMI,SANDWICH,CHEESE,,
AMERICAN TURKEY SANDWHICH,CAFE COMMONS,500,MEAL,,,,,,,,,,,,TURKEY,SANDWICH,CHEESE,,
AMERICAN TURKEY WRAP,CAFE COMMONS,500,MEAL,,,,,,,,,,,,TURKEY,SANDWICH,CHEESE,,
AMERICANO,CHARRON FAMILY,,BEVERAGE,,,,,,,,,,,,COFFEE,COFFEE,COFFEE,,
AMF BLUE MOTORCYCLE,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
ANGRY ORCHARD CIDER,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
APPLE,MODERN MARKET,,SNACK,,,,,,,,,,,,APPLE,APPLE,APPLE,,
APPLE & CINNAMON CROISSANT,AU BON PAIN,220,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
ARTICHOKE & GOAT CHEESE FLATBREAD,STARBUCKS,310,MEAL,,,,,,,,,,,,SANDWICH,CHEESE,CHEESE,,
ARTICHOKE & PESTO PIZZA - HALF,MODERN MARKET,,MEAL,,,,,,,,,,,,PIZZA,CHEESE,VEGETABLES,,
ARTICHOKE & PESTO PIZZA - WHOLE,MODERN MARKET,,MEAL,,,,,,,,,,,,PIZZA,CHEESE,VEGETABLES,,
ARTISANAL PLATE ,ROHRS,,MEAL,,,,,,,,,,,,CHEESE,FRUIT,FRUIT,,
ARUGULA & BLUE CHEESE,MODERN MARKET,,MEAL,,,,,,,,,,,,SALAD,CHEESE,CHEESE,,
ASIAGO BREADSTICK,AU BON PAIN,150,MEAL,, MILK, SOY, WHEAT,,,,,,,,BREAD,BREAD,BREAD,,
ASIAGO CHEESE BAGEL,AU BON PAIN,330,MEAL,, MILK, SOY, WHEAT,,,,,,,,BREAD,CHEESE,CHEESE,,
ASIAN BOWL,DECIO,,MEAL,,,,,,,,,,,,BEEF,BEEF,BEEF,,
ASPARAGUS & PEA SOUP (LARGE),AU BON PAIN,370,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
ASPARAGUS & PEA SOUP (MEDIUM),AU BON PAIN,280,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
