,,,,,,,,,,,,,,,,,
NAME,REST_NAME,CALORIES,CATEGORY,PRICE,ALLERGEN 1,ALLERGEN 2,ALLERGEN 3,ALLERGEN 4,ALLERGEN 5,ALLERGEN 6,ALLERGEN 7,ALLERGEN 8,ALLERGEN 9,ALLERGEN 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3
CORN DOG,SDH,162,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,PORK,CORNDOG,CORNDOG
CHIPS CORN FRITO CHILI CHEESE,SDH,202,DINING HALL,,MILK,,,,,,,,,,CHIPS,CORNDOG,CHEESE
HELLO DOLLY BAR WITH WALNUTS,SDH,339,DINING HALL,,MILK,PEANUTS,SOY,TREE NUTS,WHEAT,,,,,,GRAHAM CRACKER,CRACKER,CRACKER
CREPE,SDH,74,DINING HALL,,,,,,,,,,,,SWEDISH,CREPE,PANCAKE
CURRIED VEGETABLE RICE PILAF,SDH,353,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,CURRY,RICE
OATMEAL RAISIN COOKIE,SDH,170,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,COOKIE,DESSERT,DESSERT
ORANGE SHERBET,SDH,145,DINING HALL,,MILK,,,,,,,,,,ICE CREAM,DESSERT,DESSERT
ROASTED GARLIC HUMMUS,SDH,73,DINING HALL,,SOY,,,,,,,,,,HUMMUS,DIP,DIP
CUSTARD-FILLED LONGJOHN WITH CHOC ICING,SDH,457,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHOCOLATE,DONUT,DONUT
BAKED LEMON THYME SALMON,SDH,220,DINING HALL,,EGGS,FISH,MILK,WHEAT,,,,,,,SEAFOOD,FISH,FISH
SDH EVERYDAY BURGER BAR,SDH,563,DINING HALL,,SOY,WHEAT,,,,,,,,,BURGER,HAMBURGER,BEEF
FLORIDA LEMON GLAZED CAKE DONUT,SDH,301,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,LEMON,LEMON
FLORIDA LEMON CAKE,SDH,355,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CAKE,LEMON,LEMON
LO MEIN NOODLES,SDH,78,DINING HALL,,SOY,WHEAT,,,,,,,,,ASIAN,LO MEIN,NOODLES
MAPLE ICED CAKE DONUT,SDH,254,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,DONUTS,MAPLE,MAPLE
BOURBON MOLASSES CHICKEN,SDH,167,DINING HALL,,FISH,MILK,SOY,,,,,,,,CHICKEN,MEAT,MEAT
BOOM BOOM CHICKEN SALAD,SDH,797,DINING HALL,,EGGS,MILK,SOY,WHEAT,,,,,,,CHICKEN,MEAT,GREENS
CHIX TCHOUPITOULAS,SDH,72,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,CHICKEN,MEAT,MEAT
BAJA CHICKEN ENCHILADA SOUP,SDH,116,DINING HALL,,MILK,SOY,,,,,,,,,CHICKEN,MEAT,SOUP
CHICKEN MARSALA,SDH,158,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,CHICKEN,MEAT,MEAT
BEEF GOULASH,SDH,236,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BEEF,MEAT,MEAT
