,,,,,,,,,,,,,,,,,
NAME,REST_NAME,CALORIES,CATEGORY,PRICE,ALLERGEN 1,ALLERGEN 2,ALLERGEN 3,ALLERGEN 4,ALLERGEN 5,ALLERGEN 6,ALLERGEN 7,ALLERGEN 8,ALLERGEN 9,ALLERGEN 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3
CHOCOLATE CHIP CHEESECAKE,SDH,553,DINING HALL,,EGGS,MILK,PEANUTS,SOY,WHEAT,,,,,,CAKE,CAKE,CAKE
SNICKERS CHEESECAKE,SDH,564,DINING HALL,,EGGS,MILK,PEANUTS,SOY,TREE NUTS,WHEAT,,,,,CAKE,CAKE,CAKE
HOUSE FRIED RICE,SDH,176,DINING HALL,,EGGS,SHELLFISH,SOY,,,,,,,,RICE,RICE,RICE
STEAMED PEAS,SDH,84,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
FRIED EGGS,SDH,96,DINING HALL,,EGGS,SOY,,,,,,,,,EGGS,EGGS,EGGS
BROCCOLI AND BABY CARROTS IN BUTTER SAUCE,SDH,98,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CONFETTI RISOTTO,SDH,99,DINING HALL,,MILK,SOY,,,,,,,,,RICE,RICE,RICE
HILDA'S MEXICAN RICE,SDH,103,DINING HALL,,MILK,SOY,,,,,,,,,RICE,RICE,RICE
SMOKED PORK COLLARD GREENS,SDH,104,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
HERB ROASTED RED-SKIN POTATOES,SDH,120,DINING HALL,,MILK,SOY,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
MEXICAN TOPPINGS BAR,SDH,124,DINING HALL,,MILK,SOY,,,,,,,,,MEXICAN,MEXICAN,MEXICAN
CHEESY HASH BROWNS,SDH,137,DINING HALL,,MILK,SOY,,,,,,,,,POTATOES,POTATOES,POTATOES
GNOCCHI KALE AND ROASTED BUTTERNUT SQUASH,SDH,144,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
WHIPPED POTATOES,SDH,146,DINING HALL,,MILK,SOY,,,,,,,,,POTATOES,POTATOES,POTATOES
RICE KRISPIES BAR,SDH,149,DINING HALL,,MILK,SOY,,,,,,,,,DESSERT,DESSERT,DESSERT
CHEESY BROCCOLI SOUP,SDH,150,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,SOUP,SOUP,SOUP
EGGS BENEDICT,SDH,164,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,EGGS,EGGS,EGGS
SWEET YEAST ROLL,SDH,164,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BREAD,BREAD,BREAD
CREAMY TOMATO  SOUP,SDH,170,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,SOUP,SOUP,SOUP
TURKEY POT ROAST,SDH,173,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,TURKEY,TURKEY,TURKEY
GINGERSNAP COOKIES,SDH,180,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,COOKIES,COOKIES,COOKIES
SCRAMBLED EGGS,SDH,182,DINING HALL,,EGGS,SOY,,,,,,,,,EGGS,EGGS,EGGS
SUPREME PIZZA,SDH,185,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,PIZZA,PIZZA,PIZZA
INDIVIDUAL OMELET,SDH,201,DINING HALL,,EGGS,SOY,,,,,,,,,EGGS,EGGS,EGGS
BAKED BUTTERMILK BISCUITS,SDH,241,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,BREAD,BREAD,BREAD
QUAKER OAT SQUARES,SDH,273,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,OATS,OATS,OATS
BEEF POT ROAST WITH VEGETABLES,SDH,296,DINING HALL,,MILK,SOY,,,,,,,,,MEAT,MEAT,MEAT
ROLLED WESTERN OMELET,SDH,302,DINING HALL,,EGGS,SOY,,,,,,,,,EGGS,EGGS,EGGS
AMISH COUNTRY-FRIED CHICKEN,SDH,356,DINING HALL,,EGGS,SOY,WHEAT,,,,,,,,MEAT,MEAT,MEAT
CORNED BEEF HASH,SDH,374,DINING HALL,,EGGS,SOY,,,,,,,,,MEAT,MEAT,MEAT
COMPANY POTATOES,SDH,399,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
GARLIC CHICKEN WITH ORZO AND ZUCCHINI,SDH,457,DINING HALL,,MILK,SOY,WHEAT,,,,,,,,MEAT,MEAT,MEAT
MASHED BUTTER PECAN SWEET POTATOES,SDH,193,DINING HALL,,MILK,TREE NUTS,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
BUNNY TRACKS,SDH,280,DINING HALL,,MILK,TREE NUTS,,,,,,,,,ICE CREAM,ICE CREAM,ICE CREAM
RICE BROWN PILAF WITH ALMONDS-SDH,SDH,311,DINING HALL,,SOY,TREE NUTS,,,,,,,,,RICE,RICE,RICE
GRANOLA RAISIN LF,SDH,366,DINING HALL,,MILK,TREE NUTS,WHEAT,,,,,,,,CEREAL,CEREAL,CEREAL
ROLL TUSCAN ROUND,SDH,71,DINING HALL,,MILK,WHEAT,,,,,,,,,BREAD,BREAD,BREAD
NATURAL OVENS 100% WHOLE GRAIN,SDH,85,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
NATURAL OVENS HEALTHMAX/MULTIGRAIN,SDH,85,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
SHRIMP BATTERED REDHOOK,SDH,86,DINING HALL,,SHELLFISH,WHEAT,,,,,,,,,SEAFOOD,SEAFOOD,SEAFOOD
WHEAT MOSTACCIOLI,SDH,86,DINING HALL,,EGGS,WHEAT,,,,,,,,,PASTA,PASTA,PASTA
FLOUR TORTILLA,SDH,87,DINING HALL,,SOY,WHEAT,,,,,,,,,TORTILLA,TORTILLA,TORTILLA
BROCCOLI TOFU,SDH,111,DINING HALL,,SOY,WHEAT,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CABBAGE KIELBASA AND RED POTATO SOUP,SDH,115,DINING HALL,,SOY,WHEAT,,,,,,,,,SOUP,SOUP,SOUP
CAJUN BUTTERED FRENCH BAGUETTE,SDH,127,DINING HALL,,MILK,WHEAT,,,,,,,,,BREAD,BREAD,BREAD
FROOT LOOPS,SDH,143,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
VEGETABLE PIZZA,SDH,148,DINING HALL,,MILK,WHEAT,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
KLUSKI NOODLES,SDH,156,DINING HALL,,EGGS,WHEAT,,,,,,,,,NOODLES,NOODLES,NOODLES
TRI-COLOR ROTINI,SDH,169,DINING HALL,,EGGS,WHEAT,,,,,,,,,PASTA,PASTA,PASTA
CAPTAIN CRUNCH,SDH,183,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
SPECIAL K WITH RED BERRIES,SDH,200,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
PITA WHITE,SDH,201,DINING HALL,,EGGS,WHEAT,,,,,,,,,BREAD,BREAD,BREAD
SHOESTRING FRENCH FRIES,SDH,202,DINING HALL,,MILK,WHEAT,,,,,,,,,POTATOES,POTATOES,POTATOES
SALAD COUSCOUS FETA MINT,SDH,207,DINING HALL,,MILK,WHEAT,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
EGG SALAD,SDH,213,DINING HALL,,EGGS,WHEAT,,,,,,,,,EGGS,EGGS,EGGS
FRIED OKRA,SDH,219,DINING HALL,,MILK,WHEAT,,,,,,,,,GREENS,GREENS,GREENS
BAKED OATMEAL WITH HONEY BLUEBERRIES,SDH,222,DINING HALL,,TREE NUTS,WHEAT,,,,,,,,,BREAKFAST,BREAKFAST,BREAKFAST
FROSTED FLAKES,SDH,229,DINING HALL,,MILK,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
LIFE CINNAMON,SDH,232,DINING HALL,,SOY,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
FROSTED MINI WHEATS,SDH,237,DINING HALL,,PEANUTS,WHEAT,,,,,,,,,CEREAL,CEREAL,CEREAL
CHICKEN CORDON BLEU,SDH,261,DINING HALL,,MILK,WHEAT,,,,,,,,,MEAT,MEAT,MEAT
SPINACH WRAP,SDH,274,DINING HALL,,MILK,WHEAT,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
GRILLED HOT DOG,SDH,345,DINING HALL,,SOY,WHEAT,,,,,,,,,HOTDOG,HOTDOG,HOTDOG
BREADED CHICKEN FILLET,SDH,372,DINING HALL,,SOY,WHEAT,,,,,,,,,MEAT,MEAT,MEAT
CHICAGO HOT DOG,SDH,372,DINING HALL,,SOY,WHEAT,,,,,,,,,MEAT,MEAT,MEAT
PORK PULLED,SDH,460,DINING HALL,,SOY,WHEAT,,,,,,,,,PORK,PORK,PORK
FRESH GREEN BEANS AND TOMATOES,SDH,31,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
ALU CHOLE,SDH,32,DINING HALL,,,,,,,,,,,,SOUP,SOUP,SOUP
VEGETABLES CAPRI BLEND,SDH,33,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SMALL PASTA SHELLS,SDH,70,DINING HALL,,,,,,,,,,,,PASTA,PASTA,PASTA
HUMMUS WITH TAHINI,SDH,79,DINING HALL,,SOY,,,,,,,,,,DIP,DIP,DIP
PEACH SLICES,SDH,79,DINING HALL,,,,,,,,,,,,FRUIT,FRUIT,FRUIT
ROASTED RADISH AND BRUSSEL SPROUTS,SDH,80,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
TRI-COLOR ROTINI,SDH,84,DINING HALL,,WHEAT,,,,,,,,,,PASTA,PASTA,PASTA
BEAN MEDLEY SALAD,SDH,85,DINING HALL,,,,,,,,,,,,SALAD,SALAD,SALAD
RICE KRISPIES,SDH,86,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
CORN,SDH,88,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CREOLE PORK LOIN,SDH,88,DINING HALL,,,,,,,,,,,,PORK,PORK,PORK
STEAMED QUINOA,SDH,88,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SAUTEED JULIENNED VEGETABLES,SDH,90,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
COLE SLAW,SDH,91,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHAR-GRILLED PLUM TOMATO HALVES,SDH,92,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
GOLDEN DELICIOUS APPLES,SDH,94,DINING HALL,,,,,,,,,,,,FRUIT,FRUIT,FRUIT
GUCHUL PAN BEEF,SDH,95,DINING HALL,,SOY,,,,,,,,,,BEEF,BEEF,BEEF
HONEYDEW WEDGES,SDH,95,DINING HALL,,,,,,,,,,,,FRUIT,FRUIT,FRUIT
RYE DARK/PUMPERNICKEL,SDH,95,DINING HALL,,WHEAT,,,,,,,,,,BREAD,BREAD,BREAD
ITALIAN SAUSAGE,SDH,96,DINING HALL,,SHELLFISH,,,,,,,,,,PORK,PORK,PORK
SAUTEED SPRING VEGETABLES,SDH,96,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
ROASTED VEGETABLES,SDH,97,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
WHOLE GREEN BEANS AND JULIENNED RED PEPPER,SDH,98,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHEF SUVIR'S ROASTED CAULIFLOWER,SDH,99,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
MOROCCAN CARROTS,SDH,99,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SOURDOUGH BREAD,SDH,100,DINING HALL,,WHEAT,,,,,,,,,,BREAD,BREAD,BREAD
BAHN PHO TUOI RICE NOODLES,NDH,101,DINING HALL,,,,,,,,,,,,NOODLES,NOODLES,NOODLES
CARROTS AND SUGAR-SNAP PEAS,SDH,101,DINING HALL,,,,,,,,,,,,CARROTS,CARROTS,CARROTS
ROASTED ROSEMARY POTATOES,SDH,102,DINING HALL,,,,,,,,,,,,POTATO,POTATO,POTATO
SALAD THREE BEAN W/PEPPERS,SDH,102,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
VEGAN EGYPTIAN STYLE CHILI,SDH,102,DINING HALL,,SOY,,,,,,,,,,CHILI,CHILI,CHILI
PEARS,SDH,109,DINING HALL,,,,,,,,,,,,FRUIT,FRUIT,FRUIT
VEGETARIAN REFRIED BEANS,SDH,109,DINING HALL,,,,,,,,,,,,BEANS,BEANS,BEANS
TURKEY SAUSAGE PATTY,SDH,110,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
MAPLE SAUSAGE LINKS,SDH,111,DINING HALL,,,,,,,,,,,,PORK,PORK,PORK
PRETZEL ROLD GOLD TINY TWISH 1Z,SDH,111,DINING HALL,,WHEAT,,,,,,,,,,PRETZEL,PRETZEL,PRETZEL
SALAD TOM BASIL COUSCOUS,SDH,111,DINING HALL,,WHEAT,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
STEAMED LONG GRAIN RICE,SDH,111,DINING HALL,,,,,,,,,,,,RICE,RICE,RICE
CHEERIOS,SDH,113,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
FRIED SEASONED POTATO CUBES,SDH,114,DINING HALL,,WHEAT,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
BROWN RICE,SDH,115,DINING HALL,,,,,,,,,,,,RICE,RICE,RICE
CHAR-GRILLED CORN COBBETTES,SDH,116,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
GRILLED HOME FRIED RED-SKIN POTATOES,SDH,116,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
POTATOES AND TOMATOES ROASTED,SDH,117,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SQUASH BUTTERNUT ROASTED,SDH,117,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
BAKED BEANS,SDH,119,DINING HALL,,,,,,,,,,,,BEANS,BEANS,BEANS
CAULIFLOWER FLORETS ROASTED,NDH,122,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
THICK CUT FRENCH FRIES,SDH,130,DINING HALL,,,,,,,,,,,,POTATOES,POTATOES,POTATOES
KALE BEAN SOUP,SDH,132,DINING HALL,,SOY,,,,,,,,,,SOUP,SOUP,SOUP
SWEET POTATO MINI PUFFS,SDH,132,DINING HALL,,,,,,,,,,,,CEREAL,CEREAL,CEREAL
PLAIN TORTILLA CHIPS,SDH,134,DINING HALL,,SOY,,,,,,,,,,CHIPS,CHIPS,CHIPS
ALBACORE TUNA SALAD,SDH,138,DINING HALL,,,,,,,,,,,,SEAFOOD,SEAFOOD,SEAFOOD
FRESH TORTILLA CHIPS,SDH,138,DINING HALL,,WHEAT,,,,,,,,,,CHIPS,CHIPS,CHIPS
CARAMELIZED BRUSSELS SPROUTS CARROTS,SDH,139,DINING HALL,,MILK,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SMALL PASTA SHELLS,SDH,140,DINING HALL,,WHEAT,,,,,,,,,,PASTA,PASTA,PASTA
SPICED BASMATI RICE,SDH,141,DINING HALL,,,,,,,,,,,,RICE,RICE,RICE
LUCKY CHARMS,SDH,144,DINING HALL,,,,,,,,,,,,CEREAL,CEREAL,CEREAL
STEAMED BROWN RICE,SDH,148,DINING HALL,,WHEAT,,,,,,,,,,RICE,RICE,RICE
ROASTED CHAYOTE AND MUSHROOM,SDH,149,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHIPS LAYS KC MASTER BBQ,SDH,150,DINING HALL,,,,,,,,,,,,CHIPS,CHIPS,CHIPS
BRUSSEL SPROUTS WITH MUSHROOMS,SDH,152,DINING HALL,,SOY,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHIP LAYS REGULAR,SDH,152,DINING HALL,,,,,,,,,,,,CHIPS,CHIPS,CHIPS
CHIP RUFFLES REGULAR,SDH,152,DINING HALL,,,,,,,,,,,,CHIPS,CHIPS,CHIPS
CRINKLE CUT FRIES,SDH,160,DINING HALL,,,,,,,,,,,,POTATOES,POTATOES,POTATOES
PEANUTS GRANULATED ROASTED,SDH,160,DINING HALL,,,,,,,,,,,,LEGUME,LEGUME,LEGUME
FALAFEL,SDH,161,DINING HALL,,,,,,,,,,,,CHICKPEA,CHICKPEA,CHICKPEA
CHIPS CORN FRITO,SDH,162,DINING HALL,,MILK,,,,,,,,,,CHIPS,CHIPS,CHIPS
TEXAS CHILI,SDH,163,DINING HALL,,,,,,,,,,,,CHILI,CHILI,CHILI
KRAVE CHOCOLATE,SDH,164,DINING HALL,,WHEAT,,,,,,,,,,CHOCOLATE,CHOCOLATE,CHOCOLATE
APPLE JACKS,SDH,165,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
HONEY NUT CHEERIOS,SDH,165,DINING HALL,,SOY,,,,,,,,,,CEREAL,CEREAL,CEREAL
SLICED TOASTED ALMONDS,SDH,166,DINING HALL,,,,,,,,,,,,NUTS,NUTS,NUTS
VEGAN REFRIED BEANS,SDH,167,DINING HALL,,MILK,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
WARM GRAIN SALAD,SDH,168,DINING HALL,,,,,,,,,,,,SALAD,SALAD,SALAD
CAVATAPPI PASTA,SDH,170,DINING HALL,,WHEAT,,,,,,,,,,PASTA,PASTA,PASTA
STEAMED RED QUINOA,NDH,170,DINING HALL,,,,,,,,,,,,GRAIN,GRAIN,GRAIN
LIFE CEREAL,SDH,172,DINING HALL,,,,,,,,,,,,CEREAL,CEREAL,CEREAL
RICE CHEX,SDH,172,DINING HALL,,,,,,,,,,,,CEREAL,CEREAL,CEREAL
BOURBON BAKED HAM,SDH,173,DINING HALL,,,,,,,,,,,,PORK,PORK,PORK
COCOA PUFFS,SDH,176,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
GLUTEN FREE PENNE PASTA,NDH,177,DINING HALL,,,,,,,,,,,,PASTA,PASTA,PASTA
BANANAS,SDH,179,DINING HALL,,,,,,,,,,,,FRUIT,FRUIT,FRUIT
HARD COOKED EGGS,SDH,182,DINING HALL,,EGGS,,,,,,,,,,EGGS,EGGS,EGGS
REESE'S PUFFS CEREAL,SDH,182,DINING HALL,,TREE NUTS,,,,,,,,,,CEREAL,CEREAL,CEREAL
CAPTAIN CRUNCHBERRY,SDH,183,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
SWEET AND SOUR CABBAGE,SDH,188,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHEX CHOCOLATE,NDH,190,DINING HALL,,SOY,,,,,,,,,,CEREAL,CEREAL,CEREAL
PEANUT BUTTER CREAMY,NDH,190,DINING HALL,,PEANUTS,,,,,,,,,,PEANUT BUTTER,PEANUT BUTTER,PEANUT BUTTER
STEW QUINOA (STEAMED) VEGETABLE,SDH,193,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
SLOPPY JOE,SDH,195,DINING HALL,,SOY,,,,,,,,,,BEEF,BEEF,BEEF
CHICKEN POPPERS,SDH,200,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
CINNAMON TOAST CRUNCH,SDH,205,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
HONEY BUNCHES OF OATS,SDH,207,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
SEASONED LEMON MINT COUSCOUS,SDH,207,DINING HALL,,WHEAT,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
WAFFLE FRIES,SDH,224,DINING HALL,,,,,,,,,,,,POTATOES,POTATOES,POTATOES
YOGURT LOW FAT BLUEBERRY,SDH,225,DINING HALL,,MILK,,,,,,,,,,YOGURT,YOGURT,YOGURT
YOGURT LOW FAT STRAWBERRY,SDH,227,DINING HALL,,MILK,,,,,,,,,,YOGURT,YOGURT,YOGURT
PORTABELLA FAJITA,SDH,234,DINING HALL,,WHEAT,,,,,,,,,,MUSHROOMS,MUSHROOMS,MUSHROOMS
HORSERADISH CRUSTED BEEF,SDH,239,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
RAISIN BRAN,SDH,239,DINING HALL,,SOY,,,,,,,,,,CEREAL,CEREAL,CEREAL
BEEF AU POIVRE,SDH,254,DINING HALL,,MILK,,,,,,,,,,MEAT,MEAT,MEAT
BRAISED TURKEY THIGHS,SDH,261,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
BBQ PULLED PORK,SDH,280,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
BEEF FAJITA,SDH,308,DINING HALL,,WHEAT,,,,,,,,,,MEAT,MEAT,MEAT
CHICKEN FAJITA,SDH,315,DINING HALL,,WHEAT,,,,,,,,,,MEAT,MEAT,MEAT
SMOKED BEEF BRISKET SLICED,SDH,326,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
BLACK OAK SMOKED SAUSAGE,SDH,334,DINING HALL,,SOY,,,,,,,,,,PORK,PORK,PORK
SAUSAGE KIELBASA 4:1 GFS,SDH,341,DINING HALL,,,,,,,,,,,,PORK,PORK,PORK
SHREDDED SMOKED PORK,NDH,397,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
HASH BROWNS,SDH,416,DINING HALL,,SOY,,,,,,,,,,POTATOES,POTATOES,POTATOES
GENOA SALAMI,SDH,425,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
ND WAFFLES,SDH,427,DINING HALL,,MILK,,,,,,,,,,WAFFLES,WAFFLES,WAFFLES
LAS CRUCES ROTISSERIE CHICKEN,SDH,456,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
HARICOT VERT AND ROASTED FALL SQUASH DH,SDH,472,DINING HALL,,,,,,,,,,,,VEGETABLES,VEGETABLES,VEGETABLES
CHICKEN VESUVIO,SDH,508,DINING HALL,,MILK,,,,,,,,,,MEAT,MEAT,MEAT
NATURAL VALLEY  GRANOLA OATS AND HONEY,SDH,536,DINING HALL,,WHEAT,,,,,,,,,,CEREAL,CEREAL,CEREAL
ROAST PRIME RIB OF BEEF,SDH,673,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
CLASSIC ROTISSERIE CHICKEN,SDH,856,DINING HALL,,,,,,,,,,,,MEAT,MEAT,MEAT
,,,,,,,,,,,,,,,,,
